"order_id","customer_id","freight","order_date","required_date","employee_id","ship_city","ship_country","ship_region","title","employee_in_charge","employee_id (1)","territory_id","territory_description","territory_region","customer_id (1)","ship_to_company","customer_city","customer_country","customer_region","order_id (1)","product_id","product_name","unit_price","quantity","discount","category_name","suppliers_company","suppliers_city","suppliers_country","suppliers_region"
10248,"VINET",32.38,"1996-07-04","1996-08-01",5,"Reims","France","","Sales Manager","Mr. Steven Buchanan",5,"02903","Providence","Eastern of USA","VINET","Vins et alcools Chevalier","Reims","France","",10248,11,"Queso Cabrales",14,12,0,"Dairy Products","Cooperativa de Quesos 'Las Cabras'","Oviedo","Spain","Asturias"
10248,"VINET",32.38,"1996-07-04","1996-08-01",5,"Reims","France","","Sales Manager","Mr. Steven Buchanan",5,"07960","Morristown","Eastern of USA","VINET","Vins et alcools Chevalier","Reims","France","",10248,11,"Queso Cabrales",14,12,0,"Dairy Products","Cooperativa de Quesos 'Las Cabras'","Oviedo","Spain","Asturias"
10248,"VINET",32.38,"1996-07-04","1996-08-01",5,"Reims","France","","Sales Manager","Mr. Steven Buchanan",5,"08837","Edison","Eastern of USA","VINET","Vins et alcools Chevalier","Reims","France","",10248,11,"Queso Cabrales",14,12,0,"Dairy Products","Cooperativa de Quesos 'Las Cabras'","Oviedo","Spain","Asturias"
10248,"VINET",32.38,"1996-07-04","1996-08-01",5,"Reims","France","","Sales Manager","Mr. Steven Buchanan",5,"10019","New York","Eastern of USA","VINET","Vins et alcools Chevalier","Reims","France","",10248,11,"Queso Cabrales",14,12,0,"Dairy Products","Cooperativa de Quesos 'Las Cabras'","Oviedo","Spain","Asturias"
10248,"VINET",32.38,"1996-07-04","1996-08-01",5,"Reims","France","","Sales Manager","Mr. Steven Buchanan",5,"10038","New York","Eastern of USA","VINET","Vins et alcools Chevalier","Reims","France","",10248,11,"Queso Cabrales",14,12,0,"Dairy Products","Cooperativa de Quesos 'Las Cabras'","Oviedo","Spain","Asturias"
10248,"VINET",32.38,"1996-07-04","1996-08-01",5,"Reims","France","","Sales Manager","Mr. Steven Buchanan",5,"11747","Mellvile","Eastern of USA","VINET","Vins et alcools Chevalier","Reims","France","",10248,11,"Queso Cabrales",14,12,0,"Dairy Products","Cooperativa de Quesos 'Las Cabras'","Oviedo","Spain","Asturias"
10248,"VINET",32.38,"1996-07-04","1996-08-01",5,"Reims","France","","Sales Manager","Mr. Steven Buchanan",5,"14450","Fairport","Eastern of USA","VINET","Vins et alcools Chevalier","Reims","France","",10248,11,"Queso Cabrales",14,12,0,"Dairy Products","Cooperativa de Quesos 'Las Cabras'","Oviedo","Spain","Asturias"
10248,"VINET",32.38,"1996-07-04","1996-08-01",5,"Reims","France","","Sales Manager","Mr. Steven Buchanan",5,"02903","Providence","Eastern of USA","VINET","Vins et alcools Chevalier","Reims","France","",10248,42,"Singaporean Hokkien Fried Mee",9.8,10,0,"Grains/Cereals","Leka Trading","Singapore","Singapore",""
10248,"VINET",32.38,"1996-07-04","1996-08-01",5,"Reims","France","","Sales Manager","Mr. Steven Buchanan",5,"07960","Morristown","Eastern of USA","VINET","Vins et alcools Chevalier","Reims","France","",10248,42,"Singaporean Hokkien Fried Mee",9.8,10,0,"Grains/Cereals","Leka Trading","Singapore","Singapore",""
10248,"VINET",32.38,"1996-07-04","1996-08-01",5,"Reims","France","","Sales Manager","Mr. Steven Buchanan",5,"08837","Edison","Eastern of USA","VINET","Vins et alcools Chevalier","Reims","France","",10248,42,"Singaporean Hokkien Fried Mee",9.8,10,0,"Grains/Cereals","Leka Trading","Singapore","Singapore",""
10248,"VINET",32.38,"1996-07-04","1996-08-01",5,"Reims","France","","Sales Manager","Mr. Steven Buchanan",5,"10019","New York","Eastern of USA","VINET","Vins et alcools Chevalier","Reims","France","",10248,42,"Singaporean Hokkien Fried Mee",9.8,10,0,"Grains/Cereals","Leka Trading","Singapore","Singapore",""
10248,"VINET",32.38,"1996-07-04","1996-08-01",5,"Reims","France","","Sales Manager","Mr. Steven Buchanan",5,"10038","New York","Eastern of USA","VINET","Vins et alcools Chevalier","Reims","France","",10248,42,"Singaporean Hokkien Fried Mee",9.8,10,0,"Grains/Cereals","Leka Trading","Singapore","Singapore",""
10248,"VINET",32.38,"1996-07-04","1996-08-01",5,"Reims","France","","Sales Manager","Mr. Steven Buchanan",5,"11747","Mellvile","Eastern of USA","VINET","Vins et alcools Chevalier","Reims","France","",10248,42,"Singaporean Hokkien Fried Mee",9.8,10,0,"Grains/Cereals","Leka Trading","Singapore","Singapore",""
10248,"VINET",32.38,"1996-07-04","1996-08-01",5,"Reims","France","","Sales Manager","Mr. Steven Buchanan",5,"14450","Fairport","Eastern of USA","VINET","Vins et alcools Chevalier","Reims","France","",10248,42,"Singaporean Hokkien Fried Mee",9.8,10,0,"Grains/Cereals","Leka Trading","Singapore","Singapore",""
10248,"VINET",32.38,"1996-07-04","1996-08-01",5,"Reims","France","","Sales Manager","Mr. Steven Buchanan",5,"02903","Providence","Eastern of USA","VINET","Vins et alcools Chevalier","Reims","France","",10248,72,"Mozzarella di Giovanni",34.8,5,0,"Dairy Products","Formaggi Fortini s.r.l.","Ravenna","Italy",""
10248,"VINET",32.38,"1996-07-04","1996-08-01",5,"Reims","France","","Sales Manager","Mr. Steven Buchanan",5,"07960","Morristown","Eastern of USA","VINET","Vins et alcools Chevalier","Reims","France","",10248,72,"Mozzarella di Giovanni",34.8,5,0,"Dairy Products","Formaggi Fortini s.r.l.","Ravenna","Italy",""
10248,"VINET",32.38,"1996-07-04","1996-08-01",5,"Reims","France","","Sales Manager","Mr. Steven Buchanan",5,"08837","Edison","Eastern of USA","VINET","Vins et alcools Chevalier","Reims","France","",10248,72,"Mozzarella di Giovanni",34.8,5,0,"Dairy Products","Formaggi Fortini s.r.l.","Ravenna","Italy",""
10248,"VINET",32.38,"1996-07-04","1996-08-01",5,"Reims","France","","Sales Manager","Mr. Steven Buchanan",5,"10019","New York","Eastern of USA","VINET","Vins et alcools Chevalier","Reims","France","",10248,72,"Mozzarella di Giovanni",34.8,5,0,"Dairy Products","Formaggi Fortini s.r.l.","Ravenna","Italy",""
10248,"VINET",32.38,"1996-07-04","1996-08-01",5,"Reims","France","","Sales Manager","Mr. Steven Buchanan",5,"10038","New York","Eastern of USA","VINET","Vins et alcools Chevalier","Reims","France","",10248,72,"Mozzarella di Giovanni",34.8,5,0,"Dairy Products","Formaggi Fortini s.r.l.","Ravenna","Italy",""
10248,"VINET",32.38,"1996-07-04","1996-08-01",5,"Reims","France","","Sales Manager","Mr. Steven Buchanan",5,"11747","Mellvile","Eastern of USA","VINET","Vins et alcools Chevalier","Reims","France","",10248,72,"Mozzarella di Giovanni",34.8,5,0,"Dairy Products","Formaggi Fortini s.r.l.","Ravenna","Italy",""
10248,"VINET",32.38,"1996-07-04","1996-08-01",5,"Reims","France","","Sales Manager","Mr. Steven Buchanan",5,"14450","Fairport","Eastern of USA","VINET","Vins et alcools Chevalier","Reims","France","",10248,72,"Mozzarella di Giovanni",34.8,5,0,"Dairy Products","Formaggi Fortini s.r.l.","Ravenna","Italy",""
10249,"TOMSP",11.61,"1996-07-05","1996-08-16",6,"Münster","Germany","","Sales Representative","Mr. Michael Suyama",6,"85014","Phoenix","Western of USA","TOMSP","Toms Spezialitäten","Münster","Germany","",10249,14,"Tofu",18.6,9,0,"Produce","Mayumi's","Osaka","Japan",""
